ALIAS_TABLE,BUS_jl,EBUS,FOREST_OF_TREES,PROPOSAL_ARRAY,BUS
4.9632,13.976000000000003,18.534000000000002,53.769,20.127500,38.772000
3.9323,14.6071,11.9983,60.2724,20.231500,36.586450
5.34673,15.199575000000003,12.40734,49.88945,22.709570,38.423660
8.949911000000002,19.681971,23.0022765,71.598102,38.257056,61.818410
13.039762900000001,43.0274773,48.1993835,190.4758575,71.652993,104.708502
