BUS_jl,EBUS,PROPOSAL_ARRAY,BUS
38.084944444444446,48.672111111111114,195.802722,353.421944
45.56531666666667,61.15764444444445,307.694828,407.458839
60.711777777777776,126.23110833333334,484.171458,545.786239
189.78736011111113,226.3030396666667,577.257177,683.121311
221.7862418888889,249.17025740000003,,772.339165
